rep,n,bin,method,bias,variance,rmse,binlabel
26,5,0,Samp,0.14705156145940465,0.0708910022017123,0.3041630548396063,0-1000
26,5,1,Samp,0.17093915411131325,0.061825395714911344,0.3017376180114151,1000-10000
26,5,2,Samp,0.21655878559244493,0.06385355885455679,0.33279312864275207,10000-100000
26,5,3,Samp,0.259161396298191,0.06749114417273198,0.3669547295021009,100000-1000000
26,10,0,Samp,0.06869468737921659,0.027744388654766344,0.18017588276152455,0-1000
26,10,1,Samp,0.06462934645904111,0.03203393019791436,0.19029157265007068,1000-10000
26,10,2,Samp,0.08924741890800753,0.02490724577871546,0.18130732903128005,10000-100000
26,10,3,Samp,0.10349653578668033,0.022782908602613502,0.18301486694380079,100000-1000000
26,25,0,Samp,0.013100157631616295,0.006908762141536808,0.08414497175416961,0-1000
26,25,1,Samp,0.01707409816082814,0.008959900164769071,0.09618432820774217,1000-10000
